p_142,s_721
p_294,s_174
p_193,s_1380
p_65,s_1409
p_307,s_577
p_178,s_1026
p_287,s_1275
p_73,s_245
p_128,s_1289
p_285,s_830
p_84,s_415
p_77,s_1419
p_41,s_24
p_94,s_498
p_37,s_773
p_25,s_317
p_257,s_142
p_264,s_1102
p_306,s_769
p_166,s_68
p_311,s_1316
p_82,s_1274
p_334,s_259
p_22,s_786
p_167,s_744
p_184,s_895
p_228,s_1414
p_275,s_747
p_275,s_538
p_132,s_810
p_337,s_480
p_25,s_468
p_123,s_196
p_60,s_364
p_1,s_299
p_100,s_1036
p_204,s_1465
p_290,s_744
p_189,s_783
p_313,s_618
p_253,s_65
p_49,s_701
p_285,s_850
p_220,s_302
p_36,s_1432
p_2,s_818
p_28,s_146
p_126,s_745
p_15,s_623
p_147,s_635
p_33,s_906
p_274,s_966
p_156,s_1199
p_223,s_752
p_180,s_447
p_183,s_702
p_241,s_308
p_143,s_1445
p_276,s_728
p_168,s_357
p_18,s_1051
p_300,s_1105
p_195,s_735
p_341,s_1400
p_68,s_711
p_163,s_374
p_154,s_200
p_139,s_914
p_66,s_663
p_291,s_1264
p_50,s_581
p_169,s_179
p_274,s_210
p_178,s_884
p_276,s_313
p_75,s_287
p_210,s_533
p_153,s_323
p_114,s_1441
p_20,s_921
p_26,s_542
p_251,s_1370
p_86,s_60
p_279,s_1165
p_190,s_1004
p_85,s_361
p_112,s_630
p_280,s_837
p_135,s_358
p_312,s_1236
p_186,s_700
p_286,s_353
p_83,s_45
p_194,s_1222
p_29,s_987
p_114,s_853
p_47,s_851
p_99,s_1016
p_119,s_964
p_149,s_550
p_208,s_384
p_159,s_1182
p_202,s_571
p_344,s_366
p_196,s_501
p_277,s_188
p_165,s_847
p_3,s_1097
p_196,s_800
p_19,s_760
p_2,s_1192
p_291,s_429
p_174,s_30
p_132,s_844
p_335,s_804
p_230,s_1260
p_306,s_835
p_172,s_462
p_22,s_1277
p_3,s_96
p_184,s_1358
p_42,s_135
p_305,s_1122
p_231,s_995
p_30,s_1333
p_315,s_508
p_259,s_1172
p_248,s_833
p_26,s_805
p_7,s_1229
p_267,s_863
p_323,s_1410
p_151,s_415
p_207,s_117
p_54,s_252
p_231,s_617
p_111,s_496
p_184,s_414
p_23,s_977
p_18,s_665
p_205,s_723
p_128,s_613
p_47,s_99
p_107,s_1138
p_59,s_255
p_304,s_823
p_191,s_77
p_38,s_105
p_10,s_1312
p_331,s_1176
p_223,s_576
p_335,s_416
p_94,s_474
p_322,s_1399
p_294,s_484
p_227,s_1248
p_238,s_570
p_115,s_547
p_128,s_1206
p_93,s_1421
p_307,s_784
p_137,s_1324
p_309,s_436
p_284,s_1368
p_318,s_876
p_183,s_1005
p_300,s_328
p_10,s_218
p_185,s_1219
p_146,s_929
p_318,s_1376
p_146,s_39
p_248,s_1128
p_8,s_972
p_310,s_119
p_291,s_127
p_228,s_1405
p_105,s_1035
p_161,s_1068
p_47,s_87
p_4,s_309
p_34,s_972
p_111,s_262
p_142,s_460
p_185,s_1093
p_128,s_1328
p_42,s_736
p_284,s_408
p_162,s_335
p_12,s_891
p_138,s_232
p_166,s_215
p_152,s_1430
p_339,s_1224
p_69,s_154
p_83,s_941
p_64,s_1157
p_177,s_672
p_95,s_1344
p_98,s_535
p_110,s_331
p_299,s_1163
p_78,s_330
p_14,s_1292
p_103,s_811
p_279,s_236
p_48,s_728
p_230,s_764
p_197,s_133
p_218,s_1245
p_44,s_551
p_177,s_822
p_29,s_1030
p_18,s_514
p_321,s_355
p_273,s_1050
p_256,s_728
p_207,s_360
p_62,s_720
p_158,s_1118
p_113,s_556
p_76,s_1331
p_342,s_1396
p_231,s_1383
p_170,s_192
p_303,s_549
p_73,s_111
p_193,s_123
p_153,s_273
p_268,s_819
p_270,s_1184
p_234,s_962
p_50,s_1069
p_42,s_481
p_205,s_1275
p_97,s_191
p_65,s_593
p_252,s_692
p_27,s_59
p_17,s_1088
p_199,s_100
p_96,s_375
p_168,s_1070
p_344,s_531
p_81,s_1232
p_201,s_675
p_31,s_1346
p_182,s_903
p_84,s_14
